stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\game\project\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.01556] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01557] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01557] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01558] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01558] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01559] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01559] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01559] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01560] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01560] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01561] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01561] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   0.01562] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.01606] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.01610] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.02688] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.04424] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.04427] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   0.04430] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   0.04433] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   0.04435] Returning d3d_display: 0000000000FD7FB0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.04436] al_display=0000000000FD7FB0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.04436] al_display->vt=0000000000FD7E40
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.04602] PathFindOnPath failed to find d3dx9_43.dll
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.04656] PathFindOnPath failed to find d3dx9_42.dll
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.04703] PathFindOnPath failed to find d3dx9_41.dll
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.04748] PathFindOnPath failed to find d3dx9_40.dll
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.04792] PathFindOnPath failed to find d3dx9_39.dll
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.04823] PathFindOnPath failed to find d3dx9_38.dll
