stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\game\project\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   1.47142] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47144] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47145] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47146] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.47147] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47148] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.47149] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47150] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.47151] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47152] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47153] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47154] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47155] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47156] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.47157] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47159] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.47160] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47161] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.47162] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47163] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47164] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47165] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47166] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47167] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.47168] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47170] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.47171] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47172] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.47173] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47174] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47175] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47176] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47177] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47178] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.47179] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47180] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.47181] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47182] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.47183] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47185] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.47185] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47187] Score is : 769
